Country/Region,Confirmed,Growth
string,number,number
Romania,9710,5.57
Mexico,9501,10.59
United Arab Emirates,8238,8.91
Denmark,8108,3.17
Indonesia,7418,7.16
Norway,7338,1.52
Belarus,7281,14.17
Qatar,7141,11.87
Czechia,7132,2.35
Philippines,6710,4.48
Serbia,6630,7.30
Ukraine,6592,11.26
Australia,6547,0.44
Malaysia,5532,2.00
Dominican Republic,5300,7.61
